Regions;Number of deaths
01 - Bas-Saint-Laurent;24
02 - Saguenay – Lac-Saint-Jean;190
03 - Capitale-Nationale;581
04 - Mauricie-et-Centre-du-Québec;326
05 - Estrie;123
06 - Montréal;3 749
07 - Outaouais;97
08 - Abitibi-Témiscamingue;4
09 - Côte-Nord;3
10 - Nord-du-Québec;0
11 - Gaspésie – Îles-de-la-Madeleine;42
12 - Chaudière-Appalaches;161
13 - Laval;738
14 - Lanaudière;378
15 - Laurentides;349
16 - Montérégie;970
17 - Nunavik;0
18 - Terres-Cries-de-la-Baie-James;1
Outside Quebec;0
Region to be determined;0
Total;7 736
