month,year,milestone,status
3,2020,First Mass School Closure,2019-2020
4,2020,School Closure Extensions until May 4,2019-2020
5,2020,School Closure Extensions until May 31,2019-2020
6,2020,School Closure Extensions until June 30,2019-2020
9,2020,Phased Reopening of Schools,2020-2021
12,2020,Winter Break (Schools closed following normal calendar),2020-2021
1,2021,Virtual Learning following Winter Break,2020-2021
1,2021,Jan 11 Partial Reopening in 7 Northern PHUs,2020-2021
1,2021,More Partial Reopening in 7 PHUs + Some Schools in 9 Boards.,2020-2021
2,2021,"Feb 1 Partial Reopening in 4 PHUs, all Schools in 9 Boards and Some Schools in 2 Boards",2020-2021
2,2021,Feb 8 Partial Reopening in 13 PHUs,2020-2021
2,2021,Feb 16 Full Reopening,2020-2021
4,2021,Rescheduled Spring Break April 12-16: All Schools Closed,2020-2021
4,2021,April 19 School Closure: All Schools to Virtual Learning,2020-2021
